Bus ID,Bus Name,Bus Voltage (kV),Descriptive Powerflow Case,Sensitivity Case,Interconnection Type,Bus Interconnection Capacity (MW),Constraint Headroom (MW),Base Flow (MVA),Constraint Base Flow (MW),Number of Upgrades Assumed (Upgrades),Primary Limiting Constraint,Shift Factor (Number),Risk Level,Latitude (Degrees),Longitude (Degrees),County,ISO,State,Owner,Case Last Updated,Constraint Area,Constraint Type,Existing Overload Flag,Constraint AC Loading Ratio (Percentage),Constraint Voltage,Contingency Event,Contingency Event Facility,Contingency Name,Generator Modeling Assumptions,Interconnection Scenario,Study Year,Transmission Modeling Assumptions
ISO-NE_100086,MAINE YANKEE,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,1803.41,1118.0,187.0,185.0,0,100086 MAINE YANKEE  345  100087 SUROWIEC      345  2,0.62,High Risk Upgrade,43.953599,-69.695403,Lincoln,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,21.8,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_IN_ISLAND 
BRANCH_TOISL","[101] 100086 MAINE YANKEE  345  100087 SUROWIEC      345  1  
[101] 100174 SECT 81A TAP  115  100190 MASON 2       115  1  
[101] 100125 SUROWIEC      115  100174 SECT 81A TAP  115  1  
[101] 100174 SECT 81A TAP  115  100198 TOPSHAM S81A  115  1  
[101] 101300 TOPSHAM 1X   34.5  100198 TOPSHAM S81A  115  1",DC_377_81_NPCC_NERC,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_117000,SHERMAN ROAD,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2286.53,1087.0,778.0,-800.0,0,110773 NEA 336 TAP   345  110785 ANP BLACKSTN  345  1,0.48,High Risk Upgrade,42.009944,-71.673433,Providence,ISO-NE,RI,RI_RIE,2026-06-27,ISO-NE,Branch,False,48.6,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 117000 SHERMAN ROAD  345  117001 WEST FARNUM   345  1  
[101] 117001 WEST FARNUM   345  117005 W FARNUM 74T  115  1",BF_WFARN_8-4,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_111809,K_ST_345_R3,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,1086.0,324.0,261.0,0,110786 STOUGHTON     345  110790 K STREET 1    345  1,-0.84,High Risk Upgrade,42.339566,-71.038123,Suffolk,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,60.83,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_FROMISL 
BRANCH_FROMISL 
SWSHUNT_OUTAGE 
BRANCH_TOISL 
SWSHUNT_OUTAGE","[101] 110786 STOUGHTON     345  110862 K STREET 2    345  1  
[101] 110862 K STREET 2    345  111810 K STREET 4    345  1  
[101] 110862 K STREET 2    345  111812 K STREET 3    345  1  
[101] 111808 K_ST_345_R1   345  111810 K STREET 4    345  1  
[101]111808 K_ST_345_R1   345 
[101] 110786 STOUGHTON     345  111803 STOUGHTON_R1  345  1  
[101]111803 STOUGHTON_R1  345",LN_3162,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_111812,K STREET 3,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,1086.0,324.0,261.0,0,110786 STOUGHTON     345  110790 K STREET 1    345  1,-0.84,High Risk Upgrade,42.339566,-71.038123,Suffolk,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,60.83,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_FROMISL 
BRANCH_FROMISL 
SWSHUNT_OUTAGE 
BRANCH_TOISL 
SWSHUNT_OUTAGE","[101] 110786 STOUGHTON     345  110862 K STREET 2    345  1  
[101] 110862 K STREET 2    345  111810 K STREET 4    345  1  
[101] 110862 K STREET 2    345  111812 K STREET 3    345  1  
[101] 111808 K_ST_345_R1   345  111810 K STREET 4    345  1  
[101]111808 K_ST_345_R1   345 
[101] 110786 STOUGHTON     345  111803 STOUGHTON_R1  345  1  
[101]111803 STOUGHTON_R1  345",LN_3162,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_110862,K STREET 2,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,1269.2,1072.0,324.0,261.0,0,110786 STOUGHTON     345  110862 K STREET 2    345  1,-0.84,High Risk Upgrade,42.138152,-71.156663,Norfolk,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,58.63,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_TOISL 
BRANCH_IN_ISLAND 
BRANCH_FROMISL 
BRANCH_IN_ISLAND 
SWSHUNT_OUTAGE 
SWSHUNT_OUTAGE 
BRANCH_TOISL 
SWSHUNT_OUTAGE","[101] 110786 STOUGHTON     345  110790 K STREET 1    345  1  
[101] 110790 K STREET 1    345  111811 K STREET 5    345  1  
[101] 110862 K STREET 2    345  111812 K STREET 3    345  1  
[101] 110790 K STREET 1    345  111812 K STREET 3    345  1  
[101] 111807 K_ST_345_R2   345  111811 K STREET 5    345  1  
[101] 111809 K_ST_345_R3   345  111812 K STREET 3    345  1  
[101]111807 K_ST_345_R2   345 
[101]111809 K_ST_345_R3   345 
[101] 110786 STOUGHTON     345  111804 STOUGHTON_R2  345  1  
[101]111804 STOUGHTON_R2  345",BF_K-ST_110,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_111808,K_ST_345_R1,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,1072.0,324.0,261.0,0,110786 STOUGHTON     345  110862 K STREET 2    345  1,-0.84,High Risk Upgrade,42.344566,-71.033123,Suffolk,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,58.63,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_TOISL 
BRANCH_IN_ISLAND 
BRANCH_FROMISL 
BRANCH_IN_ISLAND 
SWSHUNT_OUTAGE 
SWSHUNT_OUTAGE 
BRANCH_TOISL 
SWSHUNT_OUTAGE","[101] 110786 STOUGHTON     345  110790 K STREET 1    345  1  
[101] 110790 K STREET 1    345  111811 K STREET 5    345  1  
[101] 110862 K STREET 2    345  111812 K STREET 3    345  1  
[101] 110790 K STREET 1    345  111812 K STREET 3    345  1  
[101] 111807 K_ST_345_R2   345  111811 K STREET 5    345  1  
[101] 111809 K_ST_345_R3   345  111812 K STREET 3    345  1  
[101]111807 K_ST_345_R2   345 
[101]111809 K_ST_345_R3   345 
[101] 110786 STOUGHTON     345  111804 STOUGHTON_R2  345  1  
[101]111804 STOUGHTON_R2  345",BF_K-ST_110,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_110790,K STREET 1,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,1268.23,1071.0,324.0,261.0,0,110786 STOUGHTON     345  110790 K STREET 1    345  1,-0.84,High Risk Upgrade,42.339566,-71.038123,Suffolk,ISO-NE,MA,MA_NSTAR_BE,2026-06-27,ISO-NE,Branch,False,58.72,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_IN_ISLAND 
BRANCH_TOISL 
BRANCH_FROMISL 
BRANCH_IN_ISLAND 
SWSHUNT_OUTAGE 
SWSHUNT_OUTAGE 
BRANCH_TOISL 
SWSHUNT_OUTAGE","[101] 110786 STOUGHTON     345  110862 K STREET 2    345  1  
[101] 110862 K STREET 2    345  111810 K STREET 4    345  1  
[101] 110862 K STREET 2    345  111812 K STREET 3    345  1  
[101] 110790 K STREET 1    345  111812 K STREET 3    345  1  
[101] 111808 K_ST_345_R1   345  111810 K STREET 4    345  1  
[101] 111809 K_ST_345_R3   345  111812 K STREET 3    345  1  
[101]111808 K_ST_345_R1   345 
[101]111809 K_ST_345_R3   345 
[101] 110786 STOUGHTON     345  111803 STOUGHTON_R1  345  1  
[101]111803 STOUGHTON_R1  345",BF_K-ST_109,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_113264,MILLBURY,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,5000.0,1007.0,726.0,749.0,0,113950 SANDY POND    345  113951 TEWKSBURY     345  1,0.16,Medium Risk Upgrade,42.18794,-71.737379,Worcester,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,47.5,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_TOISL","[101] 113950 SANDY POND    345  933300 QP1567_POI    345  1  
[101] 113950 SANDY POND    345  999968 SANDY POND    115  1  
[101] 113986 SANDY POND    115  999968 SANDY POND    115  1  
[101] 114061 PHII HVDC SS 23.0  999968 SANDY POND    115  1",BF_SNDPD_326,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_113265,WACHUSETT,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,4462.42,1007.0,726.0,749.0,0,113950 SANDY POND    345  113951 TEWKSBURY     345  1,0.23,High Risk Upgrade,42.359907,-71.776216,Worcester,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,47.5,345,"BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_OPEN 
BRANCH_TOISL","[101] 113950 SANDY POND    345  933300 QP1567_POI    345  1  
[101] 113950 SANDY POND    345  999968 SANDY POND    115  1  
[101] 113986 SANDY POND    115  999968 SANDY POND    115  1  
[101] 114061 PHII HVDC SS 23.0  999968 SANDY POND    115  1",BF_SNDPD_326,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100005,COOPERS MILL,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2097.64,972.0,279.0,282.0,0,100087 SUROWIEC      345  100090 BUXTON        345  2,0.46,High Risk Upgrade,44.296799,-69.556666,Kennebec,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,30.51,345,BRANCH_OPEN,[101] 100087 SUROWIEC      345  100090 BUXTON        345  1,LN_374,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
