Substation Name,Min Voltage (kV),Max Voltage (kV),Substation Owner,Substation Status,Type,Latitude (Degrees),Longitude (Degrees),County,Owner Source,State,Substation ID
Tap_202096,,,Not Available,In Service,Substation,44.298355,-76.413224,,Not Available,ON,or:electric_substation:568119
Tap_111746,,,Not Available,In Service,Substation,44.274934,-76.644234,,Not Available,ON,or:electric_substation:568120
Tap_137115,,,Not Available,In Service,Substation,44.275249,-76.645465,,Not Available,ON,or:electric_substation:568121
Tap_359558,,,Not Available,In Service,Substation,44.354431,-76.350133,,Not Available,ON,or:electric_substation:568122
Tap_717983,,,Not Available,In Service,Substation,45.608432,-73.379328,,Not Available,QC,or:electric_substation:568123
Tap_554887,,,Not Available,In Service,Substation,45.582282,-74.051609,,Not Available,QC,or:electric_substation:568124
Tap_480134,,,Not Available,In Service,Substation,45.17382,-73.718383,,Not Available,QC,or:electric_substation:568125
Tap_732289,,,Not Available,In Service,Substation,45.348443,-73.65413,,Not Available,QC,or:electric_substation:568126
Tap_038802,,,Not Available,In Service,Substation,45.027388,-74.786294,,Not Available,ON,or:electric_substation:568131
Tap_519112,,,Not Available,In Service,Substation,45.516644,-75.423102,,Not Available,ON,or:electric_substation:568132
Tap_932562,,,Not Available,In Service,Substation,45.511612,-75.422096,,Not Available,ON,or:electric_substation:568133
Junction_734399,,,Not Available,In Service,Substation,45.646798,-74.301263,,Not Available,QC,or:electric_substation:568134
Tap_811667,,,Not Available,In Service,Substation,45.756416,-74.122249,,Not Available,QC,or:electric_substation:568135
Tap_370925,,,Not Available,In Service,Substation,45.779026,-74.089842,,Not Available,QC,or:electric_substation:568136
Tap_281535,,,Not Available,In Service,Substation,45.469591,-76.231956,,Not Available,ON,or:electric_substation:568137
Tap_850026,,,Not Available,In Service,Substation,45.464788,-76.220661,,Not Available,ON,or:electric_substation:568138
Tap_793222,,,Not Available,In Service,Substation,45.393776,-75.594145,,Not Available,ON,or:electric_substation:568139
Tap_678044,,,Not Available,In Service,Substation,46.071479,-73.654929,,Not Available,QC,or:electric_substation:568140
Tap_215955,,,Not Available,In Service,Substation,46.104937,-74.436843,,Not Available,QC,or:electric_substation:568141
Tap_687250,,,Not Available,In Service,Substation,46.253425,-73.387036,,Not Available,QC,or:electric_substation:568142
Tap_635446,,,Not Available,In Service,Substation,46.202629,-73.482695,,Not Available,QC,or:electric_substation:568143
Tap_562719,,,Not Available,In Service,Substation,44.807432,-75.845347,,Not Available,ON,or:electric_substation:568144
Tap_783096,,,Not Available,In Service,Substation,43.871736,-79.122311,,Not Available,ON,or:electric_substation:568145
Tap_303355,,,Not Available,In Service,Substation,44.036658,-78.005455,,Not Available,ON,or:electric_substation:568146
Tap_613621,,,Not Available,In Service,Substation,44.719299,-79.7033,,Not Available,ON,or:electric_substation:568147
Tap_717976,,,Not Available,In Service,Substation,43.775168,-79.450025,,Not Available,ON,or:electric_substation:568148
Tap_240763,,,Not Available,In Service,Substation,44.927555,-78.63535,,Not Available,ON,or:electric_substation:568149
Tap_503823,,,Not Available,In Service,Substation,43.982897,-77.151656,,Not Available,ON,or:electric_substation:568150
Junction_072678,,,Not Available,In Service,Substation,44.621532,-77.538379,,Not Available,ON,or:electric_substation:568151
Tap_260878,,,Not Available,In Service,Substation,44.149096,-77.600067,,Not Available,ON,or:electric_substation:568152
Tap_678734,,,Not Available,In Service,Substation,45.612788,-73.336003,,Not Available,QC,or:electric_substation:568153
Tap_933968,,,Not Available,In Service,Substation,45.616602,-73.334076,,Not Available,QC,or:electric_substation:568154
Tap_983536,,,Not Available,In Service,Substation,45.59013,-73.92812,,Not Available,QC,or:electric_substation:568155
Tap_273874,,,Not Available,In Service,Substation,45.774325,-73.599195,,Not Available,QC,or:electric_substation:568156
Tap_847245,,,Not Available,In Service,Substation,45.775976,-73.597804,,Not Available,QC,or:electric_substation:568157
Tap_349791,,,Not Available,In Service,Substation,45.346746,-73.660022,,Not Available,QC,or:electric_substation:568158
Tap_359388,,,Not Available,In Service,Substation,45.102304,-74.84735,,Not Available,ON,or:electric_substation:568162
Tap_156909,,,Not Available,In Service,Substation,45.050341,-74.837547,,Not Available,ON,or:electric_substation:568163
Tap_362141,,,Not Available,In Service,Substation,45.54035,-75.4608,,Not Available,QC,or:electric_substation:568164
Junction_067808,,,Not Available,In Service,Substation,45.45848,-76.211068,,Not Available,ON,or:electric_substation:568165
Tap_951477,,,Not Available,In Service,Substation,44.671529,-75.618259,,Not Available,ON,or:electric_substation:568166
Tap_156096,,,Not Available,In Service,Substation,44.80846,-75.83987,,Not Available,ON,or:electric_substation:568167
Tap_072677,,,Not Available,In Service,Substation,44.000504,-78.837138,,Not Available,ON,or:electric_substation:568169
Tap_246632,,,Not Available,In Service,Substation,44.917129,-78.673418,,Not Available,ON,or:electric_substation:568170
Tap_916602,,,Not Available,In Service,Substation,44.152817,-76.855738,,Not Available,ON,or:electric_substation:568171
Tap_613297,,,Not Available,In Service,Substation,45.567475,-73.444534,,Not Available,QC,or:electric_substation:568172
Tap_389759,,,Not Available,In Service,Substation,46.003764,-73.156993,,Not Available,QC,or:electric_substation:568173
Tap_297613,,,Not Available,In Service,Substation,46.622198,-75.977615,,Not Available,QC,or:electric_substation:568178
Tap_906971,,,Not Available,In Service,Substation,44.168081,-77.311062,,Not Available,ON,or:electric_substation:568180
Tap_370741,,,Not Available,In Service,Substation,44.613765,-76.615026,,Not Available,ON,or:electric_substation:568181
Tap_591802,,,Not Available,In Service,Substation,44.256672,-76.494122,,Not Available,ON,or:electric_substation:568182
Tap_703482,,,Not Available,In Service,Substation,44.22008,-76.545383,,Not Available,ON,or:electric_substation:568183
Tap_441032,,,Not Available,In Service,Substation,44.27529,-76.647267,,Not Available,ON,or:electric_substation:568184
Junction_429554,,,Not Available,In Service,Substation,44.343288,-76.333924,,Not Available,ON,or:electric_substation:568185
Tap_550637,,,Not Available,In Service,Substation,45.446882,-73.417464,,Not Available,QC,or:electric_substation:568186
Tap_586024,,,Not Available,In Service,Substation,46.376873,-75.937618,,Not Available,QC,or:electric_substation:568188
Tap_433474,,,Not Available,In Service,Substation,45.135364,-75.193583,,Not Available,ON,or:electric_substation:568189
Tap_308902,,,Not Available,In Service,Substation,45.486136,-74.322378,,Not Available,QC,or:electric_substation:568190
Tap_572959,,,Not Available,In Service,Substation,45.248326,-76.751701,,Not Available,ON,or:electric_substation:568191
Tap_059242,,,Not Available,In Service,Substation,45.681148,-75.891031,,Not Available,QC,or:electric_substation:568192
Tap_402343,,,Not Available,In Service,Substation,45.405566,-75.644995,,Not Available,ON,or:electric_substation:568193
Tap_153601,,,Not Available,In Service,Substation,44.426196,-79.100064,,Not Available,ON,or:electric_substation:568195
Tap_165672,,,Not Available,In Service,Substation,43.843953,-79.162476,,Not Available,ON,or:electric_substation:568196
Tap_454096,,,Not Available,In Service,Substation,43.848461,-79.117352,,Not Available,ON,or:electric_substation:568197
Tap_018129,,,Not Available,In Service,Substation,45.391398,-73.517052,,Not Available,QC,or:electric_substation:568198
Tap_341910,,,Not Available,In Service,Substation,45.815213,-73.247557,,Not Available,QC,or:electric_substation:568199
Tap_542789,,,Not Available,In Service,Substation,45.594972,-74.613959,,Not Available,ON,or:electric_substation:568202
Tap_200972,,,Not Available,In Service,Substation,45.067118,-74.936618,,Not Available,ON,or:electric_substation:568203
Tap_995976,,,Not Available,In Service,Substation,45.260507,-74.087511,,Not Available,QC,or:electric_substation:568204
Tap_473015,,,Not Available,In Service,Substation,45.614618,-76.718962,,Not Available,ON,or:electric_substation:568205
Tap_724720,,,Not Available,In Service,Substation,45.381928,-75.741476,,Not Available,ON,or:electric_substation:568206
Tap_238545,,,Not Available,In Service,Substation,46.072782,-73.65357,,Not Available,QC,or:electric_substation:568207
Tap_295645,,,Not Available,In Service,Substation,46.129176,-74.559461,,Not Available,QC,or:electric_substation:568208
Harris Hydro,115.0,115.0,Central Maine Power Co,In Service,Substation,45.459283,-69.865122,Somerset,Estimated,ME,or:electric_substation:56821
Tap_218151,,,Not Available,In Service,Substation,43.984268,-78.271436,,Not Available,ON,or:electric_substation:568210
Tap_447748,,,Not Available,In Service,Substation,43.787857,-79.20654,,Not Available,ON,or:electric_substation:568211
Tap_212059,,,Not Available,In Service,Substation,44.276746,-76.766336,,Not Available,ON,or:electric_substation:568212
Tap_657552,,,Not Available,In Service,Substation,44.19091,-77.349712,,Not Available,ON,or:electric_substation:568213
Tap_903831,,,Not Available,In Service,Substation,45.195921,-79.361357,,Not Available,ON,or:electric_substation:568214
Tap_028623,,,Not Available,In Service,Substation,45.306434,-73.169133,,Not Available,QC,or:electric_substation:568215
Tap_909262,,,Not Available,In Service,Substation,45.047102,-74.802224,,Not Available,ON,or:electric_substation:568216
Tap_823333,,,Not Available,In Service,Substation,45.648796,-74.301277,,Not Available,QC,or:electric_substation:568217
Tap_814641,,,Not Available,In Service,Substation,46.196439,-73.491254,,Not Available,QC,or:electric_substation:568218
Tap_849379,,,Not Available,In Service,Substation,43.847392,-79.120594,,Not Available,ON,or:electric_substation:568220
Tap_779015,,,Not Available,In Service,Substation,44.052607,-77.930651,,Not Available,ON,or:electric_substation:568221
Tap_643437,,,Not Available,In Service,Substation,45.663383,-73.519965,,Not Available,QC,or:electric_substation:568222
Tap_067551,,,Not Available,In Service,Substation,45.333553,-73.323235,,Not Available,QC,or:electric_substation:568223
Tap_471782,,,Not Available,In Service,Substation,45.139378,-73.142876,,Not Available,QC,or:electric_substation:568224
Tap_097878,,,Not Available,In Service,Substation,46.543039,-75.481334,,Not Available,QC,or:electric_substation:568226
Tap_404767,,,Not Available,In Service,Substation,45.026246,-74.762462,,Not Available,ON,or:electric_substation:568227
Tap_370884,,,Not Available,In Service,Substation,43.848998,-79.11868,,Not Available,ON,or:electric_substation:568228
Tap_003448,,,Not Available,In Service,Substation,44.324765,-78.258375,,Not Available,ON,or:electric_substation:568229
Tap_183588,,,Not Available,In Service,Substation,44.275406,-76.644267,,Not Available,ON,or:electric_substation:568230
Tap_213941,,,Not Available,In Service,Substation,45.637973,-73.419787,,Not Available,QC,or:electric_substation:568231
Tap_295859,,,Not Available,In Service,Substation,45.371048,-74.869519,,Not Available,ON,or:electric_substation:568233
Tap_214461,,,Not Available,In Service,Substation,45.522183,-75.289819,,Not Available,ON,or:electric_substation:568234
Tap_539811,,,Not Available,In Service,Substation,45.497354,-75.420551,,Not Available,ON,or:electric_substation:568235
Tap_647610,,,Not Available,In Service,Substation,45.040945,-78.484316,,Not Available,ON,or:electric_substation:568236
Tap_176507,,,Not Available,In Service,Substation,44.170619,-77.279477,,Not Available,ON,or:electric_substation:568237
Tap_378342,,,Not Available,In Service,Substation,44.609519,-76.628932,,Not Available,ON,or:electric_substation:568238
Tap_637575,,,Not Available,In Service,Substation,45.090176,-79.599641,,Not Available,ON,or:electric_substation:568239
Tap_030504,,,Not Available,In Service,Substation,45.590152,-74.591883,,Not Available,ON,or:electric_substation:568241
Tap_544228,,,Not Available,In Service,Substation,45.038286,-74.837082,,Not Available,ON,or:electric_substation:568242
Tap_347064,,,Not Available,In Service,Substation,46.12544,-74.544339,,Not Available,QC,or:electric_substation:568243
Tap_267001,,,Not Available,In Service,Substation,43.994619,-78.84477,,Not Available,ON,or:electric_substation:568244
Tap_154645,,,Not Available,In Service,Substation,45.370879,-74.870065,,Not Available,ON,or:electric_substation:568245
Tap_077838,,,Not Available,In Service,Substation,45.302585,-73.92664,,Not Available,QC,or:electric_substation:568246
Tap_755239,,,Not Available,In Service,Substation,46.020869,-73.154362,,Not Available,QC,or:electric_substation:568247
Tap_560677,,,Not Available,In Service,Substation,45.99986,-73.085269,,Not Available,QC,or:electric_substation:568248
Tap_101268,,,Not Available,In Service,Substation,43.97772,-78.308723,,Not Available,ON,or:electric_substation:568249
Tap_452648,,,Not Available,In Service,Substation,45.93894,-74.151023,,Not Available,QC,or:electric_substation:568250
Tap_044334,,,Not Available,In Service,Substation,45.849921,-77.272072,,Not Available,ON,or:electric_substation:568251
Tap_595741,,,Not Available,In Service,Substation,44.343879,-77.442538,,Not Available,ON,or:electric_substation:568252
Tap_768864,,,Not Available,In Service,Substation,45.403081,-72.997095,,Not Available,QC,or:electric_substation:568253
Tap_418148,,,Not Available,In Service,Substation,45.030651,-74.760713,,Not Available,ON,or:electric_substation:568254
Poste Carignan,,,Hydro-Québec,In Service,Substation,45.972539,-73.15715,,Openinfra,QC,or:electric_substation:568258
Canosmunknown546487,,,Hydro-Québec,In Service,Substation,45.473799,-73.571827,,Openinfra,QC,or:electric_substation:568259
Canosmunknown838287,,,,In Service,Substation,43.865771,-78.872058,,Not Available,ON,or:electric_substation:568260
Lennox Transmission,,,,In Service,Substation,44.149821,-76.848665,,Not Available,ON,or:electric_substation:568262
Frontenac Transformer,,,Hydro One,In Service,Substation,44.258879,-76.498918,,Openinfra,ON,or:electric_substation:568263
Poste La Prairie,,,Hydro-Québec,In Service,Substation,45.436491,-73.42407,,Openinfra,QC,or:electric_substation:568264
Taylor Kidd Distribution,,,Hydro One,In Service,Substation,44.24687,-76.556021,,Openinfra,ON,or:electric_substation:568265
Ellesmere Ts,,,Hydro One,In Service,Substation,43.778071,-79.220816,,Openinfra,ON,or:electric_substation:568266
Sheppard Ts,,,,In Service,Substation,43.808945,-79.175566,,Not Available,ON,or:electric_substation:568267
Poste Gamelin,,,Hydro-Québec,In Service,Substation,45.444758,-75.749944,,Openinfra,QC,or:electric_substation:568268
Poste Brossard,,,Hydro-Québec,In Service,Substation,45.460221,-73.439844,,Openinfra,QC,or:electric_substation:568269
Kingston  No. 15,,,Kingston Hydro,In Service,Substation,44.27131,-76.479782,,Openinfra,ON,or:electric_substation:568270
Kingston  No. 1,,,Kingston Hydro,In Service,Substation,44.232369,-76.480287,,Openinfra,ON,or:electric_substation:568271
Cherrywood Ts,,,Hydro One,In Service,Substation,43.852123,-79.113589,,Openinfra,ON,or:electric_substation:568272
Poste Hertel,,,Hydro-Québec,In Service,Substation,45.409784,-73.428673,,Openinfra,QC,or:electric_substation:568273
Poste Viger,,,Hydro-Québec,In Service,Substation,45.488066,-73.544109,,Openinfra,QC,or:electric_substation:568274
Canosmunknown975675,,,,In Service,Substation,43.804459,-79.646676,,Not Available,ON,or:electric_substation:568275
Canosmunknown708716,,,Alectra,In Service,Substation,43.859715,-79.257748,,Openinfra,ON,or:electric_substation:568276
William C. Lazenby Ts,,,Alectra,In Service,Substation,43.839975,-79.416616,,Openinfra,ON,or:electric_substation:568277
Bowmanville Ss,,,Hydro One,In Service,Substation,43.877073,-78.725103,,Openinfra,ON,or:electric_substation:568278
Poste Atwater,,,Hydro-Québec,In Service,Substation,45.473651,-73.571372,,Openinfra,QC,or:electric_substation:568279
Poste De L'Aqueduc,,,Hydro-Québec,In Service,Substation,45.428181,-73.616459,,Openinfra,QC,or:electric_substation:568280
Poste De Boucherville,,,Hydro-Québec,In Service,Substation,45.600866,-73.365445,,Openinfra,QC,or:electric_substation:568281
